Block,ExperimentName,ExperimentNumber,AEZ,Treatment,topChoice,yieldAre,profit,cobSize,germinationRate
11,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,27.214632,3862.894177,206.8965517,92
11,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,0,15.099964,1836.323754,192.9824561,89
12,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,0,17.240832,2184.538112,200,94
12,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,0,14.131664,1663.096224,172.4137931,92
12,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,0,16.631164,2108.613224,211.5384615,96
12,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,1,19.218136,2507.390576,205.8823529,95
12,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,1,27.6190992,3943.690467,204.5454545,91
13,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,1,16.9579968,2135.772363,272.7272727,89
13,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,24.190784,3364.168342,231.884058,92
13,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,0,13.72724,1597.704619,227.2727273,90
13,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,9.2063664,892.8943875,120,88
13,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,0,11.493888,1235.498424,135.5932203,93
14,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,21.166936,2856.308415,128.440367,89
14,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,0,13.72724,1592.287266,136.9863014,86
14,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,12.2751552,1398.500093,37.38317757,88
14,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,0,14.36736,1706.430339,161.2903226,91
14,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,0,12.7184976,1427.056916,140.625,87
15,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,0,16.472688,2049.932394,160,92
15,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,16.8783384,2161.908216,150.6849315,96
15,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,0,15.804096,1942.367491,171.875,93
15,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,1,18.3711632,2368.940822,154.7619048,95
15,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,21.166936,2859.789807,148.9361702,97
16,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,7.671972,628.1491927,312.5,64
16,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,0,21.55104,2893.479043,357.1428571,75
16,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,1,22.6106624,3068.636065,320,82
16,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,54.429264,8379.355463,297.5206612,83
16,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,1,34.3181,5012.270786,320.5128205,61
17,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,1,33.044928,4824.698048,287.5,93
17,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,0,16.9579968,2163.027469,222.2222222,95
17,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,34.774252,5139.325832,219.047619,94
17,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,1,27.45448,3892.82368,273.9726027,91
17,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,18.4127328,2426.233645,200,90
18,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,0,24.0238288,3307.55518,223.6842105,88
18,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,40.821948,6132.759684,219.5121951,90
18,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,1,26.081756,3647.291496,226.1904762,94
18,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,21.4815216,2925.172586,179.4871795,91
1,Maize variety,31,Central Plateau,Pool9A,0,5.166668,952.85376,68.49315068,86
1,Maize variety,31,Central Plateau,H629,0,0,-690.4,208.3333333,92
1,Maize variety,31,Central Plateau,ZM607,0,10.7407608,2790.043456,120.6896552,90
2,Maize variety,31,Central Plateau,H629,0,0,-705.4545455,0,92
2,Maize variety,31,Central Plateau,ZM607,0,0,-647.8021978,0,86
2,Maize variety,31,Central Plateau,Pool9A,0,0,-735.82,0,84
3,Maize variety,31,Central Plateau,ZM607,0,6.1375776,1323.984832,83.33333333,86
3,Maize variety,31,Central Plateau,Pool9A,0,6.2000016,1297.989321,98.36065574,94
3,Maize variety,31,Central Plateau,H629,0,0,-673.2214229,94.59459459,82
4,Maize variety,31,Central Plateau,Pool9A,0,18.6000048,5267.881536,240,85
4,Maize variety,31,Central Plateau,H629,1,23.9999928,6995.117696,403.8461538,78
4,Maize variety,31,Central Plateau,ZM607,1,30.687888,9178.82416,289.8550725,86
5,Maize variety,31,Central Plateau,H629,0,0,-668.8223553,258.0645161,87
5,Maize variety,31,Central Plateau,ZM607,0,15.343944,4286.529146,175.4385965,84
5,Maize variety,31,Central Plateau,Pool9A,0,12.4000032,3320.116792,193.5483871,82
6,Maize variety,31,Central Plateau,ZM607,0,24.5503104,7216.810439,258.0645161,82
6,Maize variety,31,Central Plateau,Pool9A,0,20.666672,5941.801707,357.1428571,86
6,Maize variety,31,Central Plateau,H629,0,0,-683.2888889,342.8571429,78
7,Maize variety,31,Central Plateau,H629,0,20.5714224,5906.687503,216.8674699,86
7,Maize variety,31,Central Plateau,ZM607,1,23.015916,6730.06318,192.3076923,82
7,Maize variety,31,Central Plateau,Pool9A,0,16.5333376,4610.029309,205.1282051,84
8,Maize variety,31,Central Plateau,Pool9A,0,22.7333392,6566.520396,289.4736842,92
8,Maize variety,31,Central Plateau,H629,0,0,-699.7027601,303.030303,90
8,Maize variety,31,Central Plateau,ZM607,0,33.7566768,10164.73139,215.6862745,86
9,Maize variety,31,Central Plateau,H629,0,0,-707.248947,117.6470588,92
9,Maize variety,31,Central Plateau,ZM607,0,6.1375776,1324.869276,95.23809524,88
9,Maize variety,31,Central Plateau,Pool9A,1,12.4000032,3245.423246,200,94
10,Maize variety,31,Central Plateau,Pool9A,0,17.5666712,4975.871155,220.7792208,78
10,Maize variety,31,Central Plateau,H629,0,23.9999928,7030.277472,295.7746479,86
10,Maize variety,31,Central Plateau,ZM607,0,33.7566768,10166.38518,323.5294118,84
11,Maize variety,31,Central Plateau,H629,0,19.4285656,5547.780992,239.4366197,88
11,Maize variety,31,Central Plateau,ZM607,1,30.687888,9169.07416,227.2727273,86
11,Maize variety,31,Central Plateau,Pool9A,0,18.6000048,5272.841536,253.5211268,88
12,Maize variety,31,Central Plateau,ZM607,0,6.1375776,1311.274832,83.33333333,78
12,Maize variety,31,Central Plateau,Pool9A,0,8.2666688,1959.054016,150.9433962,82
12,Maize variety,31,Central Plateau,H629,0,0,-669.96,171.4285714,80
13,Maize variety,31,Central Plateau,Pool9A,0,7.2333352,1628.387264,129.6296296,78
13,Maize variety,31,Central Plateau,H629,0,0,-679.52,181.8181818,82
13,Maize variety,31,Central Plateau,ZM607,0,12.2751552,3290.309664,148.1481481,74
14,Maize variety,31,Central Plateau,H629,0,0,-700.3430532,227.2727273,86
14,Maize variety,31,Central Plateau,ZM607,0,7.671972,1761.163115,104.1666667,90
14,Maize variety,31,Central Plateau,Pool9A,0,6.2000016,1263.217207,136.3636364,92
1,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,ZM607,0,36.1866728,10166.65531,333.3333333,90
1,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,WH505,0,42.16,11910.15411,430.5555556,91
1,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,RHM104,0,43.848,12415.25568,381.5789474,87
1,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,PAN4M21,1,55.5,15948.76543,370,93
1,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,SC529,0,33.264,9247.016092,362.0689655,85
2,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,WH505,0,19.04,5014.4,378.3783784,90
2,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,RHM104,0,18.144,4741.82,352.9411765,87
2,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,PAN4M21,1,34.5,9680.8,294.8717949,95
2,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,SC529,0,34.848,9755.9,297.2972973,80
2,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,ZM607,0,14.1600024,3601.47072,230.7692308,75
3,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,RHM104,0,6.048,1114.46,400,88
3,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,PAN4M21,0,6,1132.66,285.7142857,90
3,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,SC529,0,7.92,1678.22,161.2903226,87
3,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,ZM607,0,6.2933344,1232.57032,235.2941176,90
3,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,WH505,0,5.44,937.68,222.2222222,85
4,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,PAN4M21,0,22.5,6085.18,267.8571429,91
4,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,SC529,0,20.592,5478.9,419.3548387,93
4,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,ZM607,0,12.5866688,3121.68064,296.2962963,91
4,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,WH505,0,9.52,2161.68,280,87
4,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,RHM104,0,13.608,3382.46,428.5714286,89
5,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,SC529,0,7.92,1676.06,166.6666667,89
5,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,ZM607,0,11.800002,2893.4706,267.8571429,84
5,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,WH505,0,10.2,2370.12,288.4615385,79
5,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,RHM104,0,18.144,4750.4,214.2857143,76
5,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,PAN4M21,1,30,8338.3,266.6666667,80
6,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,ZM607,0,11.0133352,2652.59652,194.4444444,93
6,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,WH505,1,16.32,4197.454545,307.6923077,94
6,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,RHM104,0,12.096,2940.69899,242.4242424,85
6,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,PAN4M21,1,12,2943.191919,266.6666667,89
6,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,SC529,0,15.84,4045.979798,256.4102564,90
7,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,WH505,0,42.16,11943,508.1967213,95
7,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,RHM104,1,55.944,16071.68,440.4761905,92
7,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,PAN4M21,0,49.5,14194.06,452.0547945,90
7,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,SC529,0,41.184,11646.62,530.6122449,87
7,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,ZM607,0,33.0400056,9280.59168,617.6470588,84
8,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,RHM104,0,19.656,5201.18,247.6190476,81
8,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,PAN4M21,1,30,8333.2,283.6879433,92
8,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,SC529,0,23.76,6426.88,250,90
8,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,ZM607,0,19.66667,5243.391,204.9180328,93
8,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,WH505,1,40.8,11543.72,307.6923077,91
10,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,SC529,1,34.848,9753.935354,354.8387097,88
10,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,ZM607,0,18.8800032,5003.667627,333.3333333,90
10,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,WH505,1,27.2,7458.868687,270.2702703,91
10,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,RHM104,0,18.144,4737.179798,190.4761905,87
10,Maize variety (low-mid altitude varieties),25,Mayaga-Bugesera,PAN4M21,0,0,NA,204.5454545,90
1,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,0,18.48667952,1981.067133,307.6923077,84
1,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,1,24.52260241,2756.516337,303.5714286,90
1,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,0,11.35073414,941.1627791,285.7142857,86
1,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,1,21.25194378,2345.180129,341.4634146,80
1,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,1,27.56473896,3221.847454,338.9830508,76
2,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,0,17.31007229,1781.995979,292.6829268,86
2,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,0,15.60725944,1530.232483,215.6862745,90
2,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,1,21.25194378,2331.057987,259.2592593,84
2,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,1,16.53884337,1639.054234,166.6666667,90
2,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,1,30.81113253,3682.145248,266.6666667,84
3,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,1,28.37683534,3321.032948,266.6666667,90
3,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,1,24.28793574,2774.287004,320,86
3,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,0,20.67355422,2238.96959,267.8571429,86
3,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,0,18.48667952,1982.465133,230.7692308,78
3,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,0,21.63759036,2373.750651,288.4615385,94
4,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,1,36.43190361,4424.844146,338.028169,90
4,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,1,24.80826506,2765.534748,276.9230769,86
4,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,1,29.2705759,3441.763856,243.5897436,80
4,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,1,28.85012048,3319.056619,238.0952381,94
4,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,1,22.70146827,2489.668912,183.908046,88
5,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,1,16.53884337,1631.31585,255.3191489,80
5,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,0,9.243339759,651.1842329,193.5483871,78
5,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,0,14.42506024,1325.186212,227.2727273,84
5,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,0,12.7695759,1137.237429,250,82
5,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,0,12.14396787,1051.372169,228.5714286,86
6,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,1,23.1083494,2601.408916,245.9016393,84
6,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,1,30.29262651,3573.679711,323.0769231,88
6,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,0,19.86378474,2117.301863,304.3478261,82
6,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,0,22.76993976,2556.235566,357.1428571,88
6,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,0,20.67355422,2232.66559,394.7368421,86
7,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,0,21.63759036,2348.477866,164.8351648,84
7,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,1,22.70146827,2507.50686,177.7777778,86
7,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,1,30.35991968,3601.227594,204.0816327,90
7,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,1,23.43002811,2586.854586,188.8888889,84
7,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,0,21.56779277,2369.530988,164.7058824,82
8,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,1,14.18841767,1338.278474,153.8461538,70
8,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,1,19.73394779,2133.827691,160.4938272,86
8,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,0,12.40413253,1047.078554,214.2857143,80
8,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,0,16.94612289,1745.974705,192.9824561,76
8,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,0,11.54004819,955.206747,250,88
9,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,1,22.67886,2533.6354,238.0952381,86
9,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,0,12.354516,1033.14224,236.8421053,90
9,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,0,9.2063664,651.906296,176.4705882,84
9,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,0,17.240832,1720.15648,230.7692308,90
9,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,1,18.3711632,1872.997848,209.6774194,86
10,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,0,30.199928,3532.83992,305.5555556,86
10,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,0,35.2910712,4300.454968,302.6315789,82
10,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,1,37.355136,4546.32904,333.3333333,86
10,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,1,39.5686592,4851.557288,345.6790123,84
10,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,1,46.869644,5905.88516,340.6593407,90
11,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,0,29.1534936,3425.042437,292.3076923,90
11,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,1,33.044928,3923.125701,258.4269663,92
11,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,1,29.6764944,3452.125771,300,88
11,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,1,31.750404,3779.108629,295.7746479,92
11,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,0,24.709032,2744.624961,281.25,94
12,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,0,15.804096,1543.87344,203.7037037,82
12,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,1,22.6106624,2472.848986,246.1538462,86
12,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,1,34.774252,4246.91403,261.3636364,80
12,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,1,30.199928,3498.57117,271.6049383,88
12,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,NA,23.015916,2567.125115,234.375,78
13,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,0,25.53915181,2919.725497,219.5121951,90
13,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,1,25.80593173,2989.040926,168.3168317,92
13,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,1,23.43002811,2619.399614,188.8888889,92
13,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,0,18.48667952,1967.320807,193.5483871,86
13,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,0,17.31007229,1762.6098,176.4705882,94
14,Maize variety (low-mid altitude varieties),36,Central Plateau,PAN4M21,1,21.25194378,2314.841573,147.3684211,92
14,Maize variety (low-mid altitude varieties),36,Central Plateau,SC529,0,15.16060643,1435.056725,161.7647059,94
14,Maize variety (low-mid altitude varieties),36,Central Plateau,ZM607,1,18.48667952,1945.436058,171.4285714,82
14,Maize variety (low-mid altitude varieties),36,Central Plateau,WH505,0,10.09754217,713.3410888,155.5555556,90
14,Maize variety (low-mid altitude varieties),36,Central Plateau,RHM104,1,18.44494297,1879.379979,6.925945658,92
1,Maize variety (low-mid altitude varieties),47,Lake Kivu,ZM607,0,37.65894678,13232.39035,252.8735632,90
1,Maize variety (low-mid altitude varieties),47,Lake Kivu,WH505,1,40.44217687,14231.77991,333.3333333,86
1,Maize variety (low-mid altitude varieties),47,Lake Kivu,RHM104,1,31.95568627,11138.45543,448.7179487,87
1,Maize variety (low-mid altitude varieties),47,Lake Kivu,PAN4M21,1,40.19779592,14190.43541,234.5679012,94
1,Maize variety (low-mid altitude varieties),47,Lake Kivu,SC529,0,38.67466026,13577.47257,310.3448276,86
2,Maize variety (low-mid altitude varieties),47,Lake Kivu,WH505,0,11.83673469,3740.25851,164.3835616,89
2,Maize variety (low-mid altitude varieties),47,Lake Kivu,RHM104,1,15.52133333,5048.931821,168.3168317,90
2,Maize variety (low-mid altitude varieties),47,Lake Kivu,PAN4M21,1,22.21457143,7564.631639,190.9090909,84
2,Maize variety (low-mid altitude varieties),47,Lake Kivu,SC529,1,16.11444178,5282.194513,217.3913043,90
2,Maize variety (low-mid altitude varieties),47,Lake Kivu,ZM607,0,25.67655462,8838.91047,180.7228916,85
3,Maize variety (low-mid altitude varieties),47,Lake Kivu,RHM104,1,0,-585.6,222.2222222,85
3,Maize variety (low-mid altitude varieties),47,Lake Kivu,PAN4M21,1,0,-559.8666667,188.8888889,85
3,Maize variety (low-mid altitude varieties),47,Lake Kivu,SC529,0,0,-582.2666667,175.6756757,83
3,Maize variety (low-mid altitude varieties),47,Lake Kivu,ZM607,0,0,-542.8,171.4285714,86
3,Maize variety (low-mid altitude varieties),47,Lake Kivu,WH505,0,0,-601.6888889,180.3278689,80
4,Maize variety (low-mid altitude varieties),47,Lake Kivu,PAN4M21,1,0,-559.92,204.3010753,87
4,Maize variety (low-mid altitude varieties),47,Lake Kivu,SC529,0,0,-611.86,191.011236,83
4,Maize variety (low-mid altitude varieties),47,Lake Kivu,ZM607,0,0,-570.38,168.6046512,89
4,Maize variety (low-mid altitude varieties),47,Lake Kivu,WH505,1,0,-624.8,250,86
4,Maize variety (low-mid altitude varieties),47,Lake Kivu,RHM104,1,0,-617.62,233.6448598,80
5,Maize variety (low-mid altitude varieties),47,Lake Kivu,SC529,1,11.8125304,3749.458657,261.9047619,86
5,Maize variety (low-mid altitude varieties),47,Lake Kivu,ZM607,0,15.3997704,5102.695737,257.1428571,82
5,Maize variety (low-mid altitude varieties),47,Lake Kivu,WH505,1,18.734,6294.098,296.875,80
5,Maize variety (low-mid altitude varieties),47,Lake Kivu,RHM104,1,10.9518528,3417.229978,218.1818182,87
5,Maize variety (low-mid altitude varieties),47,Lake Kivu,PAN4M21,0,12.6889632,4098.369494,333.3333333,96
6,Maize variety (low-mid altitude varieties),47,Lake Kivu,ZM607,0,10.2665136,3222.390491,230.7692308,94
6,Maize variety (low-mid altitude varieties),47,Lake Kivu,WH505,0,23.664,8103.568,600,89
6,Maize variety (low-mid altitude varieties),47,Lake Kivu,RHM104,0,10.0391984,3098.065813,220,89
6,Maize variety (low-mid altitude varieties),47,Lake Kivu,PAN4M21,1,15.861204,5279.741868,230.7692308,89
6,Maize variety (low-mid altitude varieties),47,Lake Kivu,SC529,1,18.2557288,6101.77247,212.5,92
7,Maize variety (low-mid altitude varieties),47,Lake Kivu,WH505,1,31.552,10919.184,395.0617284,90
7,Maize variety (low-mid altitude varieties),47,Lake Kivu,RHM104,0,20.9910512,7004.25579,348.4848485,90
7,Maize variety (low-mid altitude varieties),47,Lake Kivu,PAN4M21,1,43.3539576,15279.86244,369.3693694,91
7,Maize variety (low-mid altitude varieties),47,Lake Kivu,SC529,0,16.107996,5263.554532,405.4054054,86
7,Maize variety (low-mid altitude varieties),47,Lake Kivu,ZM607,0,25.666284,8818.446228,306.122449,86
8,Maize variety (low-mid altitude varieties),47,Lake Kivu,RHM104,1,10.53062769,3465.509594,243.2432432,86
8,Maize variety (low-mid altitude varieties),47,Lake Kivu,PAN4M21,1,15.59007231,5352.787306,258.4269663,85
8,Maize variety (low-mid altitude varieties),47,Lake Kivu,SC529,0,8.948886667,2880.138843,260,86
8,Maize variety (low-mid altitude varieties),47,Lake Kivu,ZM607,0,21.93699487,7675.966862,400,84
8,Maize variety (low-mid altitude varieties),47,Lake Kivu,WH505,1,19.59358974,6778.488462,500,86
9,Maize variety (low-mid altitude varieties),47,Lake Kivu,PAN4M21,1,16.90509353,5682.83599,326.5306122,80
9,Maize variety (low-mid altitude varieties),47,Lake Kivu,SC529,0,12.87609592,4180.993871,342.8571429,85
9,Maize variety (low-mid altitude varieties),47,Lake Kivu,ZM607,1,25.64576739,8898.441075,348.8372093,82
9,Maize variety (low-mid altitude varieties),47,Lake Kivu,WH505,1,15.76338929,5255.297202,363.6363636,81
9,Maize variety (low-mid altitude varieties),47,Lake Kivu,RHM104,0,5.471549161,1477.347431,428.5714286,83
10,Maize variety (low-mid altitude varieties),47,Lake Kivu,SC529,0,18.2557288,6111.42747,435.8974359,79
10,Maize variety (low-mid altitude varieties),47,Lake Kivu,ZM607,0,27.3773696,9506.144643,246.1538462,79
10,Maize variety (low-mid altitude varieties),47,Lake Kivu,WH505,1,34.51,12070.97,466.6666667,80
10,Maize variety (low-mid altitude varieties),47,Lake Kivu,RHM104,1,25.5543232,8786.811614,411.7647059,81
10,Maize variety (low-mid altitude varieties),47,Lake Kivu,PAN4M21,1,34.8946488,12264.53611,392.8571429,80
1,Maize variety,44,Congo Nile,Pool9A,0,22.464,8377.18,233.7662338,97
1,Maize variety,44,Congo Nile,H629,1,34.112,13062.86,295.4545455,93
1,Maize variety,44,Congo Nile,ZM607,0,17.68,6567.84,173.3333333,95
2,Maize variety,44,Congo Nile,H629,1,20.336,7635.596172,287.037037,81
2,Maize variety,44,Congo Nile,ZM607,0,23.12,8755.675439,269.8412698,85
2,Maize variety,44,Congo Nile,Pool9A,1,23.712,8937.351834,279.4117647,89
3,Maize variety,44,Congo Nile,ZM607,0,16.32,6050.139155,173.9130435,72
3,Maize variety,44,Congo Nile,Pool9A,1,19.968,7411.920893,150.9433962,85
3,Maize variety,44,Congo Nile,H629,1,35.424,13664.69569,329.2682927,78
4,Maize variety,44,Congo Nile,Pool9A,1,23.712,8860.903896,253.3333333,96
4,Maize variety,44,Congo Nile,H629,1,32.8,12551.95238,260.4166667,91
4,Maize variety,44,Congo Nile,ZM607,0,20.4,7658.857143,205.4794521,96
5,Maize variety,44,Congo Nile,H629,1,30.176,11480.84,212.962963,91
5,Maize variety,44,Congo Nile,ZM607,0,25.84,9792.58,169.6428571,92
5,Maize variety,44,Congo Nile,Pool9A,1,32.448,12339.84,195.4887218,98
6,Maize variety,44,Congo Nile,ZM607,0,27.2,10345.8483,192.3076923,93
6,Maize variety,44,Congo Nile,Pool9A,1,33.696,12864.28822,212.5984252,92
6,Maize variety,44,Congo Nile,H629,1,39.36,15150.78643,283.0188679,87
7,Maize variety,44,Congo Nile,Pool9A,1,23.712,8848.209273,174.3119266,98
7,Maize variety,44,Congo Nile,H629,1,40.016,15382.6,262.9310345,96
7,Maize variety,44,Congo Nile,ZM607,0,24.48,9250.92,174.7572816,86
8,Maize variety,43,Congo Nile,H629,1,30.832,11760.4,273.255814,81
8,Maize variety,43,Congo Nile,ZM607,0,19.04,7127.397206,245.6140351,83
8,Maize variety,43,Congo Nile,Pool9A,0,22.464,8400.849501,225,86
9,Maize variety,43,Congo Nile,ZM607,0,19.04,7130.142929,222.2222222,69
9,Maize variety,43,Congo Nile,Pool9A,0,19.344,7151.852874,198.7179487,84
9,Maize variety,43,Congo Nile,H629,1,22.304,8361.048441,207.3170732,69
10,Maize variety,44,Congo Nile,Pool9A,1,17.472,6366.68,134.6153846,79
