"season","phase","trial_number","location","Trial 1","Trial 2","Trial 1 Outcome","Trial 2 Outcome","p.value","Percent Yield Change","Trial 1 Profit","Trial 2 Profit","Percent Profit Change 1 vs. 2"
"SR2017",1,12,"KKMT","Iron Rich Beans 1","KK8 + DAP","0.04 (0.01, 0.07)","0.13 (0.03, 0.23)","0.347","-69.2%","-3,036.74 (-4012.4, -2061.09)","-4,135.73 (-7253.14, -1018.32)","-26.6%"
"SR2017",1,12,"KKMT","Chelelang + DAP","KK8 + DAP","0.12 (0.03, 0.21)","0.13 (0.03, 0.23)","1","-7.7%","-4,744.04 (-7589.02, -1899.05)","-4,135.73 (-7253.14, -1018.32)","14.7%"
"SR2017",1,13,"GK","KK8 Beans + DAP","Iron Rich Beans 1","0.33 (0.05, 0.61)","0.38 (0.06, 0.69)","0.996","-13.2%","2,087.5 (-6549.77, 10724.77)","7,304.73 (-2368.64, 16978.1)","-71.4%"
"SR2017",1,13,"GK","KK8 Beans + DAP","KK15 + DAP","0.33 (0.05, 0.61)","0.15 (0.06, 0.25)","0.312","120%","2,087.5 (-6549.77, 10724.77)","-2,891.5 (-5861.63, 78.63)","-172.2%"
"SR2017",1,13,"GK","KK8 Beans + DAP","KAT B1 + DAP","0.33 (0.05, 0.61)","0.23 (0, 0.46)","0.73","43.5%","2,087.5 (-6549.77, 10724.77)","-457.16 (-7560.63, 6646.31)","-556.6%"
"SR2017",1,13,"GK","KK8 Beans + DAP","KAT X56 + DAP","0.33 (0.05, 0.61)","0.47 (0.12, 0.81)","0.613","-29.8%","2,087.5 (-6549.77, 10724.77)","4,317.75 (-6347.72, 14983.21)","-51.7%"
"SR2017",1,13,"GK","KK8 Beans + DAP","Chelelang + DAP","0.33 (0.05, 0.61)","0.19 (0.09, 0.3)","0.343","73.7%","2,087.5 (-6549.77, 10724.77)","-2,465.18 (-5782.6, 852.24)","-184.7%"
"SR2017",1,13,"GK","Iron Rich Beans 1","KK15 + DAP","0.38 (0.06, 0.69)","0.15 (0.06, 0.25)","0.134","153.3%","7,304.73 (-2368.64, 16978.1)","-2,891.5 (-5861.63, 78.63)","-352.6%"
"SR2017",1,13,"GK","Iron Rich Beans 1","KAT B1 + DAP","0.38 (0.06, 0.69)","0.23 (0, 0.46)","0.449","65.2%","7,304.73 (-2368.64, 16978.1)","-457.16 (-7560.63, 6646.31)","-1697.8%"
"SR2017",1,13,"GK","Iron Rich Beans 1","KAT X56 + DAP","0.38 (0.06, 0.69)","0.47 (0.12, 0.81)","0.878","-19.1%","7,304.73 (-2368.64, 16978.1)","4,317.75 (-6347.72, 14983.21)","69.2%"
"SR2017",1,13,"GK","Iron Rich Beans 1","Chelelang + DAP","0.38 (0.06, 0.69)","0.19 (0.09, 0.3)","0.158","100%","7,304.73 (-2368.64, 16978.1)","-2,465.18 (-5782.6, 852.24)","-396.3%"
"SR2017",1,13,"GK","KK15 + DAP","KAT B1 + DAP","0.15 (0.06, 0.25)","0.23 (0, 0.46)","0.989","-34.8%","-2,891.5 (-5861.63, 78.63)","-457.16 (-7560.63, 6646.31)","532.5%"
"SR2017",1,13,"GK","KK15 + DAP","KAT X56 + DAP","0.15 (0.06, 0.25)","0.47 (0.12, 0.81)","0.013","-68.1%","-2,891.5 (-5861.63, 78.63)","4,317.75 (-6347.72, 14983.21)","-167%"
"SR2017",1,13,"GK","KK15 + DAP","Chelelang + DAP","0.15 (0.06, 0.25)","0.19 (0.09, 0.3)","1","-21.1%","-2,891.5 (-5861.63, 78.63)","-2,465.18 (-5782.6, 852.24)","17.3%"
"SR2017",1,13,"GK","KAT B1 + DAP","KAT X56 + DAP","0.23 (0, 0.46)","0.47 (0.12, 0.81)","0.077","-51.1%","-457.16 (-7560.63, 6646.31)","4,317.75 (-6347.72, 14983.21)","-110.6%"
"SR2017",1,13,"GK","KAT B1 + DAP","Chelelang + DAP","0.23 (0, 0.46)","0.19 (0.09, 0.3)","0.988","21.1%","-457.16 (-7560.63, 6646.31)","-2,465.18 (-5782.6, 852.24)","-81.5%"
"SR2017",1,13,"GK","KAT X56 + DAP","Chelelang + DAP","0.47 (0.12, 0.81)","0.19 (0.09, 0.3)","0.018","147.4%","4,317.75 (-6347.72, 14983.21)","-2,465.18 (-5782.6, 852.24)","-275.1%"
"SR2017",1,14,"GK","SC Duma","SC Twiga 81","4.97 (4.56, 5.37)","3.91 (3.46, 4.35)","0.012","27.1%","59,588.75 (54188.68, 64988.82)","45,571.01 (39669.25, 51472.77)","30.8%"
"SR2017",1,14,"GK","SC Duma","SC Twiga 83","4.97 (4.56, 5.37)","4.19 (3.46, 4.91)","0.058","18.6%","59,588.75 (54188.68, 64988.82)","49,335.47 (39680.23, 58990.71)","20.8%"
"SR2017",1,14,"GK","SC Twiga 81","SC Twiga 83","3.91 (3.46, 4.35)","4.19 (3.46, 4.91)","0.616","-6.7%","45,571.01 (39669.25, 51472.77)","49,335.47 (39680.23, 58990.71)","-7.6%"
"SR2017",1,16,"SG","Maize SR Variety Control 1 (SC Duma)","SC PM53","1.29 (0.54, 2.03)","1.12 (0.6, 1.63)","0.967","15.2%","10,483.8 (548.8, 20418.79)","8,165.78 (1267.55, 15064)","28.4%"
"SR2017",1,16,"SG","Maize SR Variety Control 1 (SC Duma)","DK 8031","1.29 (0.54, 2.03)","1.17 (0.72, 1.62)","0.992","10.3%","10,483.8 (548.8, 20418.79)","9,076.09 (3096.75, 15055.42)","15.5%"
"SR2017",1,16,"SG","Maize SR Variety Control 1 (SC Duma)","PAN 15","1.29 (0.54, 2.03)","0.99 (0.5, 1.47)","0.8","30.3%","10,483.8 (548.8, 20418.79)","6,641.17 (214.75, 13067.58)","57.9%"
"SR2017",1,16,"SG","Maize SR Variety Control 1 (SC Duma)","P3812W","1.29 (0.54, 2.03)","0.48 (0.21, 0.76)","0.055","168.8%","10,483.8 (548.8, 20418.79)","-253.28 (-3930.49, 3423.94)","-4239.2%"
"SR2017",1,16,"SG","SC PM53","DK 8031","1.12 (0.6, 1.63)","1.17 (0.72, 1.62)","1","-4.3%","8,165.78 (1267.55, 15064)","9,076.09 (3096.75, 15055.42)","-10%"
"SR2017",1,16,"SG","SC PM53","PAN 15","1.12 (0.6, 1.63)","0.99 (0.5, 1.47)","0.989","13.1%","8,165.78 (1267.55, 15064)","6,641.17 (214.75, 13067.58)","23%"
"SR2017",1,16,"SG","SC PM53","P3812W","1.12 (0.6, 1.63)","0.48 (0.21, 0.76)","0.183","133.3%","8,165.78 (1267.55, 15064)","-253.28 (-3930.49, 3423.94)","-3324%"
"SR2017",1,16,"SG","DK 8031","PAN 15","1.17 (0.72, 1.62)","0.99 (0.5, 1.47)","0.958","18.2%","9,076.09 (3096.75, 15055.42)","6,641.17 (214.75, 13067.58)","36.7%"
"SR2017",1,16,"SG","DK 8031","P3812W","1.17 (0.72, 1.62)","0.48 (0.21, 0.76)","0.126","143.8%","9,076.09 (3096.75, 15055.42)","-253.28 (-3930.49, 3423.94)","-3683.4%"
"SR2017",1,16,"SG","PAN 15","P3812W","0.99 (0.5, 1.47)","0.48 (0.21, 0.76)","0.382","106.2%","6,641.17 (214.75, 13067.58)","-253.28 (-3930.49, 3423.94)","-2722.1%"
"SR2017",1,17,"SG","KK8 + DAP","GLP 92 (Mwitemania)+ DAP","0.05 (0.03, 0.07)","0.61 (0.43, 0.79)","< 0.001","-91.8%","-6,560.83 (-7252.72, -5868.93)","8,756.31 (3190.99, 14321.62)","-174.9%"
"SR2017",1,18,"SG","Cangi","Tigoni","1.34 (0.95, 1.73)","1.67 (1.25, 2.09)","0.166","-19.8%","13,746.91 (5950.16, 21543.66)","20,349.76 (11819.48, 28880.03)","-32.4%"
"SR2017",1,19,"SG","Riogrande Local + Disease Treatment + Staking","Kilele F1 Hybrid + Disease Treatment + Staking","1.04 (-0.16, 2.24)","2.73 (0.63, 4.82)","0.185","-61.9%","15,993.57 (-12120.29, 44107.42)","55,599.31 (6426.45, 104772.17)","-71.2%"
"SR2017",1,19,"SG","Riogrande Local + Disease Treatment + Staking","CAL J + Disease Treatment + Staking","1.04 (-0.16, 2.24)","2.26 (0.7, 3.82)","0.384","-54%","15,993.57 (-12120.29, 44107.42)","44,623.36 (8020.23, 81226.49)","-64.2%"
"SR2017",1,19,"SG","Kilele F1 Hybrid + Disease Treatment + Staking","CAL J + Disease Treatment + Staking","2.73 (0.63, 4.82)","2.26 (0.7, 3.82)","0.86","20.8%","55,599.31 (6426.45, 104772.17)","44,623.36 (8020.23, 81226.49)","24.6%"
